score_id,name,input_key,label,type,unit,points_rule,ref
cha2ds2vasc,CHA2DS2-VASc,congestive_hf,Congestive HF/LV dysfunction,boolean,,"IF(val,1,0)",ESC AF Guideline
cha2ds2vasc,CHA2DS2-VASc,hypertension,Hypertension,boolean,,"IF(val,1,0)",ESC AF Guideline
cha2ds2vasc,CHA2DS2-VASc,age75,Age ≥75,boolean,,"IF(val,2,0)",ESC AF Guideline
cha2ds2vasc,CHA2DS2-VASc,diabetes,Diabetes mellitus,boolean,,"IF(val,1,0)",ESC AF Guideline
cha2ds2vasc,CHA2DS2-VASc,stroke_tia_thrombo,Prior stroke/TIA/thromboembolism,boolean,,"IF(val,2,0)",ESC AF Guideline
cha2ds2vasc,CHA2DS2-VASc,vascular,Vascular disease,boolean,,"IF(val,1,0)",ESC AF Guideline
cha2ds2vasc,CHA2DS2-VASc,age65to74,Age 65–74,boolean,,"IF(val,1,0)",ESC AF Guideline
cha2ds2vasc,CHA2DS2-VASc,female,Female sex,boolean,,"IF(val,1,0)",ESC AF Guideline
hasbled,HAS-BLED,hypertension,Hypertension (SBP>160),boolean,,"IF(val,1,0)",HAS-BLED
hasbled,HAS-BLED,abnormal_renal,Abnormal renal function,boolean,,"IF(val,1,0)",HAS-BLED
hasbled,HAS-BLED,abnormal_liver,Abnormal liver function,boolean,,"IF(val,1,0)",HAS-BLED
hasbled,HAS-BLED,stroke,History of stroke,boolean,,"IF(val,1,0)",HAS-BLED
hasbled,HAS-BLED,bleeding,Bleeding history/predisposition,boolean,,"IF(val,1,0)",HAS-BLED
hasbled,HAS-BLED,labile_inr,Labile INR,boolean,,"IF(val,1,0)",HAS-BLED
hasbled,HAS-BLED,elderly,Age >65,boolean,,"IF(val,1,0)",HAS-BLED
hasbled,HAS-BLED,drugs,Drugs (antiplatelet/NSAIDs),boolean,,"IF(val,1,0)",HAS-BLED
hasbled,HAS-BLED,alcohol,Alcohol ≥8 drinks/week,boolean,,"IF(val,1,0)",HAS-BLED
meldna,MELD-Na,scr,Serum creatinine,number,mg/dL,FORMULA: MELD-Na = MELD + 1.32*(137-Na) - [0.033*MELD*(137-Na)],Biggins 2016 / OPTN
meldna,MELD-Na,tbil,Total bilirubin,number,mg/dL,See formula,Biggins 2016 / OPTN
meldna,MELD-Na,inr,INR,number,,See formula,Biggins 2016 / OPTN
meldna,MELD-Na,na,Serum sodium,number,mmol/L,See formula,Biggins 2016 / OPTN
apache2,APACHE II,temp,Temperature (°C),number,°C,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,map,MAP,number,mmHg,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,hr,Heart rate,number,/min,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,rr,Respiratory rate,number,/min,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,oxygenation,A-a gradient/PaO2,number,mmHg,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,arterial_pH,Arterial pH,number,,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,sodium,Serum Na,number,mmol/L,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,potassium,Serum K,number,mmol/L,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,creatinine,Serum creatinine,number,mg/dL,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,hematocrit,Hematocrit,number,%,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,wbc,WBC,number,10^9/L,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,gcs,GCS,number,,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,age,Age,number,years,SEE_APACHE2_TABLES,Knaus 1985; tables
apache2,APACHE II,chronic_health,Chronic health points,select,,SEE_APACHE2_TABLES,Knaus 1985; tables
