# DANH SACH THUOC TIM THAY BANG NHIEU PHUONG PHAP
# Tong so: 172

5-Fluorouracil | drugs\drug_modules\oncology\antimetabolites.py | Methods: method1, method2, method3, method4
Acyclovir eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Acyclovir eye ointment | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Aluminum hydroxide/Magnesium hydroxide | drugs\drug_modules\gastrointestinal\antacids.py | Methods: method1, method2, method3, method4, method5
Amlodipine/Olmesartan | drugs\drug_modules\cardiovascular\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
Amlodipine/Valsartan | drugs\drug_modules\cardiovascular\fixed_dose_combinations.py | Methods: method2, method3, method4, method5
Amoxicillin suspension | drugs\drug_modules\infectious_other\beta_lactams.py | Methods: method1, method2, method3, method4
Amoxicillin-clavulanate | drugs\drug_modules\antimicrobial\antibiotics\penicillins.py | Methods: method2, method3, method4, method5, method1
Amphotericin B | drugs\drug_modules\antimicrobial\antifungals\polyenes.py | Methods: method1, method2, method3, method4
Ampicillin-sulbactam | drugs\drug_modules\antimicrobial\antibiotics\penicillins.py | Methods: method2, method3, method4, method5, method1
Andexanet alfa | drugs\drug_modules\hematology.py | Methods: method1, method2, method3, method4, method5
Artemether-lumefantrine | drugs\drug_modules\infectious_other\antimalarials.py | Methods: method1, method2, method3, method4, method5
Artificial tears (Carboxymethylcellulose) | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Aspirin/Carisoprodol | drugs\drug_modules\analgesics\pain_muscle_relaxant_combinations.py | Methods: method1, method2, method3, method4, method5
Atazanavir (boosted with ritonavir/cobicistat) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Atropine eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4
Azelaic Acid | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Azelaic acid topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Azelastine eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Azelastine/Fluticasone nasal spray | drugs\drug_modules\ent_oral_nasal_combinations.py | Methods: method1, method2, method3, method4, method5
Azilsartan medoxomil | drugs\drug_modules\cardiovascular\arbs.py | Methods: method2, method3, method4, method5
Beclomethasone inhaled | drugs\drug_modules\respiratory\inhaled_corticosteroid_icss.py | Methods: method1, method2, method3, method4, method5
Bempedoic acid | drugs\drug_modules\cardiovascular\cholesterol_absorption_inhibitors.py | Methods: method2, method3, method4, method5
Benzoyl peroxide topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Betamethasone topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Betamethasone/Clotrimazole topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Bictegravir (BIC) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Bictegravir/Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Bismuth subsalicylate | drugs\drug_modules\gastrointestinal\antidiarrheals.py | Methods: method1, method2, method3, method4, method5
Brentuximab vedotin | drugs\drug_modules\oncology\monoclonal_antibodies_adcs.py | Methods: method1, method2, method3, method4
Budesonide inhaled | drugs\drug_modules\respiratory\inhaled_corticosteroid_icss.py | Methods: method1, method2, method3, method4, method5
Budesonide/Formoterol inhaler | drugs\drug_modules\respiratory\combination_inhalers.py | Methods: method1, method2, method3, method4, method5
Cabotegravir + Rilpivirine (Long-acting IM) | drugs\drug_modules\antimicrobial\antivirals\hiv_arvs.py | Methods: method2, method3, method4, method5
Calcitriol topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
Calcium (elemental) | drugs\drug_modules\miscellaneous\vitamins.py | Methods: method1, method2, method3, method4, method5
Calcium carbonate | drugs\drug_modules\gastrointestinal\antacids.py | Methods: method1, method2, method3, method4, method5
Calcium chloride | drugs\drug_modules\emergency\electrolytes.py | Methods: method1, method2, method3, method4, method5
Calcium gluconate | drugs\drug_modules\emergency\electrolytes.py | Methods: method1, method2, method3, method4
Cerebroprotein hydrolysate (khác) | drugs\drug_modules\neurological\cerebral_circulation.py | Methods: method1, method2, method3, method4, method5
Certolizumab pegol | drugs\drug_modules\miscellaneous\biological_drugs.py | Methods: method1, method2, method3, method4, method5
Cetirizine/Pseudoephedrine | drugs\drug_modules\ent_oral_nasal_combinations.py | Methods: method1, method2, method3, method4, method5
Ciprofloxacin eye drops | drugs\drug_modules\ophthalmology.py | Methods: method1, method2, method3, method4, method5
Citicoline/Piracetam | drugs\drug_modules\neurological\neurological_combinations.py | Methods: method1, method2, method3, method4, method5
Clindamycin topical | drugs\drug_modules\dermatology.py | Methods: method1, method2, method3, method4, method5
