# DANH SACH THUOC CHI TIET
# Tong so: 721

5-Fluorouracil | drug_modules\oncology\antimetabolites.py | 23 fields
Abaloparatide | drug_modules\endocrinology_other\osteoporosis_other.py | 24 fields
Abiraterone | drug_modules\oncology\hormone_therapy.py | 23 fields
Acarbose | drug_modules\diabetes\alpha_glucosidase_inhibitors.py | 23 fields
Acebutolol | drug_modules\cardiovascular\beta_blockers\selective.py | 23 fields
Aclidinium | drug_modules\respiratory\anticholinergic_long_actings.py | 23 fields
Acyclovir | drug_modules\antimicrobial\antivirals\herpes.py | 25 fields
Acyclovir eye drops | drug_modules\ophthalmology.py | 25 fields
Acyclovir eye ointment | drug_modules\ophthalmology.py | 25 fields
Adalimumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Adapalene | drug_modules\dermatology.py | 23 fields
Adenosine | drug_modules\cardiovascular\antiarrhythmics.py | 22 fields
Aducanumab | drug_modules\neurological\alzheimer_dementia_drugs.py | 24 fields
Albendazole | drug_modules\infectious_other\anthelmintics.py | 25 fields
Alemtuzumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Alendronate | drug_modules\endocrinology_other\osteoporosis_bisphosphonates.py | 24 fields
Alfuzosin | drug_modules\urology.py | 25 fields
Alirocumab | drug_modules\cardiovascular\pcsk9_inhibitors.py | 22 fields
Allopurinol | drug_modules\miscellaneous\xanthine_oxidase_inhibitors.py | 26 fields
Alogliptin | drug_modules\diabetes\dpp_4_inhibitors.py | 25 fields
Alteplase | drug_modules\hematology.py | 24 fields
Aluminum hydroxide/Magnesium hydroxide | drug_modules\gastrointestinal\antacids.py | 24 fields
Amikacin | drug_modules\antimicrobial\antibiotics\aminoglycosides.py | 27 fields
Aminophylline | drug_modules\respiratory\methylxanthines.py | 24 fields
Amiodarone | drug_modules\cardiovascular\antiarrhythmics.py | 22 fields
Amitriptyline | drug_modules\psychiatry_other\tcas.py | 24 fields
Amlodipine | drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py | 29 fields
Amlodipine/Olmesartan | drug_modules\cardiovascular\fixed_dose_combinations.py | 24 fields
Amlodipine/Valsartan | drug_modules\cardiovascular\fixed_dose_combinations.py | 24 fields
Amoxicillin | drug_modules\antimicrobial\antibiotics\penicillins.py | 21 fields
Amoxicillin suspension | drug_modules\infectious_other\beta_lactams.py | 24 fields
Amoxicillin-clavulanate | drug_modules\antimicrobial\antibiotics\penicillins.py | 18 fields
Amphotericin B | drug_modules\antimicrobial\antifungals\polyenes.py | 26 fields
Ampicillin | drug_modules\antimicrobial\antibiotics\penicillins.py | 18 fields
Ampicillin-sulbactam | drug_modules\antimicrobial\antibiotics\penicillins.py | 18 fields
Anastrozole | drug_modules\oncology\hormone_therapy.py | 23 fields
Andexanet alfa | drug_modules\hematology.py | 26 fields
Anidulafungin | drug_modules\antimicrobial\antifungals\echinocandins.py | 25 fields
Anifrolumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Apixaban | drug_modules\cardiovascular\anticoagulants.py | 26 fields
Aripiprazole | drug_modules\psychiatry_other\antipsychotics.py | 23 fields
Artemether-lumefantrine | drug_modules\infectious_other\antimalarials.py | 25 fields
Artesunate | drug_modules\infectious_other\antimalarials.py | 25 fields
Artificial tears (Carboxymethylcellulose) | drug_modules\ophthalmology.py | 25 fields
Aspirin | drug_modules\analgesics\nsaids.py | 23 fields
Aspirin/Carisoprodol | drug_modules\analgesics\pain_muscle_relaxant_combinations.py | 23 fields
Atazanavir (boosted with ritonavir/cobicistat) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Atenolol | drug_modules\cardiovascular\beta_blockers\selective.py | 30 fields
Atezolizumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Atomoxetine | drug_modules\psychiatry_other\adhd_anxiolytics.py | 23 fields
Atorvastatin | drug_modules\cardiovascular\statins.py | 29 fields
Atropine | drug_modules\emergency\anticholinergics.py | 24 fields
Atropine eye drops | drug_modules\ophthalmology.py | 25 fields
Avanafil | drug_modules\urology.py | 26 fields
Azathioprine | drug_modules\miscellaneous\immunosuppressants.py | 25 fields
Azelaic Acid | drug_modules\dermatology.py | 23 fields
Azelaic acid topical | drug_modules\dermatology.py | 25 fields
Azelastine eye drops | drug_modules\ophthalmology.py | 25 fields
Azelastine/Fluticasone nasal spray | drug_modules\ent_oral_nasal_combinations.py | 23 fields
Azilsartan medoxomil | drug_modules\cardiovascular\arbs.py | 26 fields
Azithromycin | drug_modules\antimicrobial\antibiotics\macrolides.py | 27 fields
Aztreonam | drug_modules\antimicrobial\antibiotics\beta_lactams.py | 24 fields
Baclofen | drug_modules\neurological\muscle_relaxants.py | 23 fields
Baricitinib | drug_modules\gastrointestinal\jak_inhibitors.py | 25 fields
Beclomethasone inhaled | drug_modules\respiratory\inhaled_corticosteroid_icss.py | 24 fields
Bedaquiline | drug_modules\infectious_other\antituberculars.py | 26 fields
Belimumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Bempedoic acid | drug_modules\cardiovascular\cholesterol_absorption_inhibitors.py | 24 fields
Benazepril | drug_modules\cardiovascular\ace_inhibitors.py | 26 fields
Benralizumab | drug_modules\respiratory\respiratory_biologics.py | 23 fields
Benzoyl peroxide topical | drug_modules\dermatology.py | 25 fields
Betamethasone | drug_modules\endocrinology_other\corticosteroids\long_acting.py | 22 fields
Betamethasone topical | drug_modules\dermatology.py | 23 fields
Betamethasone/Clotrimazole topical | drug_modules\dermatology.py | 25 fields
Betaxolol | drug_modules\cardiovascular\beta_blockers\selective.py | 23 fields
Bevacizumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Bictegravir (BIC) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Bictegravir/Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Bimatoprost | drug_modules\ophthalmology.py | 25 fields
Bisacodyl | drug_modules\gastrointestinal\laxatives.py | 25 fields
Bismuth subsalicylate | drug_modules\gastrointestinal\antidiarrheals.py | 23 fields
Bisoprolol | drug_modules\cardiovascular\beta_blockers\selective.py | 30 fields
Brentuximab vedotin | drug_modules\oncology\monoclonal_antibodies_adcs.py | 24 fields
Brimonidine | drug_modules\ophthalmology.py | 25 fields
Brinzolamide | drug_modules\ophthalmology.py | 25 fields
Brodalumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Bromocriptine | drug_modules\diabetes\other_antidiabetics.py | 25 fields
Budesonide | drug_modules\miscellaneous\corticosteroid_inhaleds.py | 23 fields
Budesonide inhaled | drug_modules\respiratory\inhaled_corticosteroid_icss.py | 24 fields
Budesonide/Formoterol inhaler | drug_modules\respiratory\combination_inhalers.py | 25 fields
Bumetanide | drug_modules\cardiovascular\diuretics.py | 16 fields
Buprenorphine | drug_modules\analgesics\opioid_agonists.py | 23 fields
Bupropion | drug_modules\psychiatry_other\antidepressants.py | 23 fields
Buspirone | drug_modules\psychiatry_other\adhd_anxiolytics.py | 23 fields
Cabotegravir + Rilpivirine (Long-acting IM) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Calcipotriol | drug_modules\dermatology.py | 23 fields
Calcitonin | drug_modules\endocrinology_other\osteoporosis_other.py | 24 fields
Calcitriol topical | drug_modules\dermatology.py | 23 fields
Calcium | drug_modules\supportive\calciums.py | 24 fields
Calcium (elemental) | drug_modules\miscellaneous\vitamins.py | 24 fields
Calcium carbonate | drug_modules\gastrointestinal\antacids.py | 24 fields
Calcium chloride | drug_modules\emergency\electrolytes.py | 23 fields
Calcium gluconate | drug_modules\emergency\electrolytes.py | 23 fields
Canagliflozin | drug_modules\diabetes\sglt2_inhibitors.py | 25 fields
Candesartan | drug_modules\cardiovascular\arbs.py | 26 fields
Capecitabine | drug_modules\oncology\antimetabolites.py | 23 fields
Caplacizumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Captopril | drug_modules\cardiovascular\ace_inhibitors.py | 30 fields
Carbamazepine | drug_modules\neurological\anticonvulsants.py | 26 fields
Carboplatin | drug_modules\oncology\platinum_compounds.py | 23 fields
Carboprost | drug_modules\emergency\uterotonics.py | 23 fields
Carisoprodol | drug_modules\neurological\muscle_relaxants.py | 24 fields
Carvedilol | drug_modules\cardiovascular\beta_blockers\non_selective.py | 29 fields
Caspofungin | drug_modules\antimicrobial\antifungals\echinocandins.py | 25 fields
Cefaclor | drug_modules\infectious_other\cephalosporins.py | 23 fields
Cefadroxil | drug_modules\infectious_other\cephalosporins.py | 24 fields
Cefazolin | drug_modules\antimicrobial\antibiotics\cephalosporins.py | 26 fields
Cefdinir | drug_modules\infectious_other\cephalosporins.py | 23 fields
Cefepime | drug_modules\antimicrobial\antibiotics\cephalosporins.py | 26 fields
Cefiderocol | drug_modules\antimicrobial\antibiotics\beta_lactams.py | 24 fields
Cefixime | drug_modules\infectious_other\cephalosporins.py | 23 fields
Cefoperazone | drug_modules\infectious_other\cephalosporins.py | 24 fields
Cefotaxime | drug_modules\infectious_other\cephalosporins.py | 23 fields
Cefotetan | drug_modules\infectious_other\cephalosporins.py | 24 fields
Cefoxitin | drug_modules\infectious_other\cephalosporins.py | 24 fields
Cefpirome | drug_modules\infectious_other\cephalosporins.py | 24 fields
Ceftazidime | drug_modules\infectious_other\cephalosporins.py | 23 fields
Ceftriaxone | drug_modules\antimicrobial\antibiotics\cephalosporins.py | 27 fields
Cefuroxime | drug_modules\infectious_other\cephalosporins.py | 23 fields
Celecoxib | drug_modules\analgesics\nsaids.py | 23 fields
Cemiplimab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Cephalexin | drug_modules\antimicrobial\antibiotics\cephalosporins.py | 23 fields
Cerebrolysin | drug_modules\neurological\cerebral_circulation.py | 25 fields
Cerebroprotein hydrolysate (khác) | drug_modules\neurological\cerebral_circulation.py | 24 fields
Certolizumab pegol | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Cetirizine | drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py | 26 fields
Cetirizine/Pseudoephedrine | drug_modules\ent_oral_nasal_combinations.py | 23 fields
Cetuximab | drug_modules\oncology\monoclonal_antibodies_adcs.py | 23 fields
Chloroquine | drug_modules\infectious_other\antimalarials.py | 23 fields
Chlorpheniramine | drug_modules\supportive\antihistamine_h1_antagonist_1st_generations.py | 24 fields
Chlorpromazine | drug_modules\psychiatry_other\antipsychotics.py | 23 fields
Chlorthalidone | drug_modules\cardiovascular\diuretics.py | 22 fields
Ciclesonide | drug_modules\respiratory\inhaled_corticosteroid_icss.py | 24 fields
Cimetidine | drug_modules\gastrointestinal\h2_receptor_antagonists.py | 23 fields
Ciprofloxacin | drug_modules\antimicrobial\antibiotics\fluoroquinolones.py | 21 fields
Ciprofloxacin eye drops | drug_modules\ophthalmology.py | 23 fields
Cisatracurium | drug_modules\emergency\neuromuscular_blockers.py | 25 fields
Cisplatin | drug_modules\oncology\platinum_compounds.py | 23 fields
Citalopram | drug_modules\psychiatry_other\ssris.py | 24 fields
Citicoline | drug_modules\neurological\cerebral_circulation.py | 24 fields
Citicoline/Piracetam | drug_modules\neurological\neurological_combinations.py | 25 fields
Clarithromycin | drug_modules\antimicrobial\antibiotics\macrolides.py | 27 fields
Clevidipine | drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py | 23 fields
Clindamycin | drug_modules\antimicrobial\antibiotics\lincosamides.py | 27 fields
Clindamycin topical | drug_modules\dermatology.py | 23 fields
Clobetasol | drug_modules\dermatology.py | 23 fields
Clofazimine | drug_modules\infectious_other\antituberculars.py | 26 fields
Clomipramine | drug_modules\psychiatry_other\tcas.py | 23 fields
Clonazepam | drug_modules\neurological\benzodiazepines.py | 24 fields
Clonidine | drug_modules\cardiovascular\other_cv.py | 23 fields
Clopidogrel | drug_modules\cardiovascular\anticoagulants.py | 24 fields
Clotrimazole (vaginal) | drug_modules\obstetrics_gynecology.py | 24 fields
Clotrimazole topical | drug_modules\dermatology.py | 23 fields
Clozapine | drug_modules\psychiatry_other\antipsychotics.py | 23 fields
Cobicistat (COBI) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Codeine | drug_modules\analgesics\opioid_agonist_weaks.py | 23 fields
Colchicine | drug_modules\miscellaneous\gout_medications.py | 24 fields
Colesevelam | drug_modules\diabetes\other_antidiabetics.py | 25 fields
Colistin | drug_modules\antimicrobial\antibiotics\polymyxins.py | 27 fields
Cromolyn | drug_modules\respiratory\leukotriene_receptor_antagonists.py | 23 fields
Cyclobenzaprine | drug_modules\neurological\muscle_relaxants.py | 24 fields
Cyclopentolate eye drops | drug_modules\ophthalmology.py | 23 fields
Cyclophosphamide | drug_modules\oncology\alkylating_agents.py | 23 fields
Cycloserine / Terizidone | drug_modules\infectious_other\antituberculars.py | 26 fields
Cyclosporine | drug_modules\miscellaneous\immunosuppressants.py | 23 fields
Dabigatran | drug_modules\cardiovascular\anticoagulants.py | 26 fields
Dapagliflozin | drug_modules\diabetes\sglt2_inhibitors.py | 25 fields
Daptomycin | drug_modules\antimicrobial\antibiotics\glycopeptides.py | 26 fields
Daratumumab | drug_modules\oncology\monoclonal_antibodies_adcs.py | 24 fields
Darunavir (boosted with ritonavir/cobicistat) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Delamanid | drug_modules\infectious_other\antituberculars.py | 26 fields
Demeclocycline | drug_modules\emergency\electrolytes.py | 23 fields
Denosumab | drug_modules\endocrinology_other\osteoporosis_other.py | 24 fields
Desloratadine | drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py | 22 fields
Desvenlafaxine | drug_modules\psychiatry_other\snris.py | 22 fields
Deutetrabenazine | drug_modules\neurological\antiparkinsonian.py | 23 fields
Dexamethasone | drug_modules\endocrinology_other\corticosteroids\long_acting.py | 22 fields
Dexamethasone eye drops | drug_modules\ophthalmology.py | 24 fields
Dexlansoprazole | drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py | 24 fields
Dexmedetomidine | drug_modules\supportive\sedatives_anesthetics_icu.py | 26 fields
Dextroamphetamine | drug_modules\psychiatry_other\adhd_anxiolytics.py | 23 fields
Diazepam | drug_modules\neurological\benzodiazepines.py | 24 fields
Diclofenac | drug_modules\analgesics\nsaids.py | 25 fields
Diclofenac eye drops | drug_modules\ophthalmology.py | 24 fields
Diclofenac gel | drug_modules\dermatology.py | 23 fields
Dicloxacillin | drug_modules\infectious_other\beta_lactams.py | 23 fields
Digoxin | drug_modules\cardiovascular\other_cv.py | 27 fields
Diltiazem | drug_modules\cardiovascular\calcium_blockers\non_dihydropyridines.py | 23 fields
Dimethyl fumarate | drug_modules\neurological\multiple_sclerosis_drugs.py | 24 fields
Dinoprostone | drug_modules\emergency\uterotonics.py | 23 fields
Diphenhydramine | drug_modules\supportive\antihistamine_h1_antagonist_1st_generations.py | 22 fields
Dipyridamole | drug_modules\cardiovascular_other\antiplatelets.py | 26 fields
Disopyramide | drug_modules\cardiovascular\antiarrhythmics.py | 23 fields
Dobutamine | drug_modules\emergency\catecholamine_alpha__beta_agonists.py | 21 fields
Docetaxel | drug_modules\oncology\taxanes.py | 23 fields
Dofetilide | drug_modules\cardiovascular\antiarrhythmics.py | 23 fields
Dolutegravir (DTG) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Domperidone | drug_modules\gastrointestinal\prokinetic_antiemetics.py | 23 fields
Donanemab | drug_modules\neurological\alzheimer_dementia_drugs.py | 24 fields
Donepezil | drug_modules\neurological\alzheimer_dementia_drugs.py | 24 fields
Dopamine | drug_modules\emergency\catecholamine_alpha__beta_agonists.py | 21 fields
Doripenem | drug_modules\antimicrobial\antibiotics\beta_lactams.py | 23 fields
Dorzolamide | drug_modules\ophthalmology.py | 23 fields
Dostarlimab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Doxazosin | drug_modules\cardiovascular\other_cv.py | 23 fields
Doxorubicin | drug_modules\oncology\anthracyclines.py | 24 fields
Doxycycline | drug_modules\antimicrobial\antibiotics\tetracyclines.py | 27 fields
Dronedarone | drug_modules\cardiovascular\antiarrhythmics.py | 22 fields
Dulaglutide | drug_modules\diabetes\glp1_agonists.py | 26 fields
Duloxetine | drug_modules\psychiatry_other\snris.py | 22 fields
Dupilumab | drug_modules\respiratory\respiratory_biologics.py | 23 fields
Durvalumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Dutasteride | drug_modules\urology.py | 24 fields
Econazole topical | drug_modules\dermatology.py | 23 fields
Eculizumab | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Edaravone | drug_modules\neurological\cerebral_circulation.py | 24 fields
Edoxaban | drug_modules\cardiovascular\anticoagulants.py | 26 fields
Efavirenz (EFV) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Efavirenz/Tenofovir disoproxil fumarate/Emtricitabine (EFV/TDF/FTC) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Efgartigimod | drug_modules\miscellaneous\biological_drugs.py | 23 fields
Eltrombopag | drug_modules\hematology.py | 24 fields
Emicizumab | drug_modules\hematology.py | 24 fields
Empagliflozin | drug_modules\diabetes\sglt2_inhibitors.py | 25 fields
Emtricitabine (FTC) | drug_modules\antimicrobial\antivirals\hiv_arvs.py | 26 fields
Enalapril | drug_modules\cardiovascular\ace_inhibitors.py | 30 fields
Enalaprilat | drug_modules\cardiovascular_other\ace_inhibitors_iv.py | 23 fields
Enoxaparin | drug_modules\cardiovascular\anticoagulants.py | 23 fields
Entecavir | drug_modules\antimicrobial\antivirals\hepatitis.py | 26 fields
Enzalutamide | drug_modules\oncology\hormone_therapy.py | 23 fields
Epinephrine | drug_modules\emergency\catecholamine_alpha__beta_agonists.py | 25 fields
Eplerenone | drug_modules\cardiovascular\diuretics.py | 25 fields
Epoetin alfa | drug_modules\hematology.py | 24 fields
Eptinezumab | drug_modules\neurological\migraine_cgrp_drugs.py | 24 fields
Eravacycline | drug_modules\antimicrobial\antibiotics\others.py | 24 fields
Erenumab | drug_modules\neurological\migraine_cgrp_drugs.py | 24 fields
Erlotinib | drug_modules\oncology\targeted_therapy_tkis.py | 23 fields
Ertapenem | drug_modules\antimicrobial\antibiotics\beta_lactams.py | 28 fields
Ertugliflozin | drug_modules\diabetes\sglt2_inhibitors.py | 26 fields
Erythromycin | drug_modules\antimicrobial\antibiotics\macrolides.py | 27 fields
Erythromycin eye ointment | drug_modules\ophthalmology.py | 23 fields
Erythromycin topical | drug_modules\dermatology.py | 23 fields
Escitalopram | drug_modules\psychiatry_other\ssris.py | 24 fields
Esomeprazole | drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py | 23 fields
Estradiol | drug_modules\obstetrics_gynecology.py | 24 fields
Etanercept | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Ethambutol | drug_modules\infectious_other\antituberculars.py | 26 fields
Ethinyl estradiol + Levonorgestrel | drug_modules\obstetrics_gynecology.py | 24 fields
Ethosuximide | drug_modules\neurological\anticonvulsants.py | 27 fields
Etomidate | drug_modules\supportive\sedatives_anesthetics_icu.py | 26 fields
Etoposide | drug_modules\oncology\topoisomerase_inhibitors.py | 23 fields
Etoricoxib | drug_modules\analgesics\nsaids.py | 23 fields
Evinacumab | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Evolocumab | drug_modules\cardiovascular\pcsk9_inhibitors.py | 22 fields
Exenatide | drug_modules\diabetes\glp1_agonists.py | 26 fields
Ezetimibe | drug_modules\cardiovascular\cholesterol_absorption_inhibitors.py | 23 fields
Famotidine | drug_modules\gastrointestinal\h2_receptor_antagonists.py | 23 fields
Favipiravir | drug_modules\antimicrobial\antivirals\influenza.py | 26 fields
Febuxostat | drug_modules\miscellaneous\gout_medications.py | 26 fields
Felodipine | drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py | 27 fields
Fenofibrate | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Fentanyl | drug_modules\analgesics\opioid_agonist_strongs.py | 25 fields
Fesoterodine | drug_modules\urology.py | 25 fields
Fexofenadine | drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py | 24 fields
Fexofenadine/Pseudoephedrine | drug_modules\ent_oral_nasal_combinations.py | 23 fields
Fidaxomicin | drug_modules\antimicrobial\antibiotics\others.py | 27 fields
Filgrastim | drug_modules\hematology.py | 25 fields
Finasteride | drug_modules\urology.py | 26 fields
Finerenone | drug_modules\cardiovascular\other_cv.py | 24 fields
Fingolimod | drug_modules\neurological\multiple_sclerosis_drugs.py | 24 fields
Flecainide | drug_modules\cardiovascular\antiarrhythmics.py | 22 fields
Fluconazole | drug_modules\antimicrobial\antifungals\azoles.py | 26 fields
Fludrocortisone | drug_modules\endocrinology_other\corticosteroids\short_intermediate_acting.py | 23 fields
Flumazenil | drug_modules\emergency\benzodiazepine_antagonists.py | 23 fields
Fluoxetine | drug_modules\neurological\ssri_selective_serotonin_reuptake_inhibitors.py | 24 fields
Fluphenazine | drug_modules\psychiatry_other\antipsychotics.py | 24 fields
Fluticasone inhaled | drug_modules\respiratory\inhaled_corticosteroid_icss.py | 23 fields
Fluticasone/Salmeterol inhaler | drug_modules\respiratory\combination_inhalers.py | 25 fields
Fluticasone/Umeclidinium/Vilanterol inhaler | drug_modules\respiratory\combination_inhalers.py | 25 fields
Fluvastatin | drug_modules\cardiovascular\statins.py | 26 fields
Fluvoxamine | drug_modules\psychiatry_other\ssris.py | 24 fields
Folic Acid | drug_modules\miscellaneous\vitamins.py | 24 fields
Folic acid | drug_modules\supportive\folates.py | 26 fields
Fondaparinux | drug_modules\cardiovascular\anticoagulants.py | 23 fields
Formoterol | drug_modules\respiratory\long_acting_beta_2_agonist_labas.py | 23 fields
Fosfomycin | drug_modules\antimicrobial\antibiotics\others.py | 27 fields
Fosphenytoin | drug_modules\neurological\anticonvulsants.py | 23 fields
Fremanezumab | drug_modules\neurological\migraine_cgrp_drugs.py | 24 fields
Furosemide | drug_modules\cardiovascular\diuretics.py | 25 fields
Fusidic Acid | drug_modules\dermatology.py | 23 fields
Fusidic acid/Betamethasone topical | drug_modules\dermatology.py | 23 fields
Gabapentin | drug_modules\neurological\anticonvulsant_alpha_2_delta_ligands.py | 24 fields
Galcanezumab | drug_modules\neurological\migraine_cgrp_drugs.py | 24 fields
Ganciclovir | drug_modules\antimicrobial\antivirals\cmv.py | 25 fields
Ganciclovir eye drops | drug_modules\ophthalmology.py | 25 fields
Gefitinib | drug_modules\oncology\targeted_therapy_tkis.py | 23 fields
Gemcitabine | drug_modules\oncology\antimetabolites.py | 23 fields
Gemfibrozil | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Gemifloxacin | drug_modules\infectious_other\fluoroquinolones.py | 23 fields
Gentamicin | drug_modules\antimicrobial\antibiotics\aminoglycosides.py | 26 fields
Gentamicin eye drops | drug_modules\ophthalmology.py | 23 fields
Gentamicin/Betamethasone/Clotrimazole topical | drug_modules\dermatology.py | 26 fields
Ginkgo biloba extract | drug_modules\neurological\cerebral_circulation.py | 24 fields
Ginkgo biloba/Vinpocetine | drug_modules\neurological\neurological_combinations.py | 25 fields
Glibenclamide | drug_modules\diabetes\sulfonylureas.py | 29 fields
Gliclazide | drug_modules\diabetes\sulfonylureas.py | 29 fields
Glimepiride | drug_modules\diabetes\sulfonylureas.py | 25 fields
Glycopyrronium | drug_modules\respiratory\anticholinergic_long_actings.py | 23 fields
Golimumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Granisetron | drug_modules\oncology\anti_emetic_5_ht3_antagonists.py | 23 fields
Guselkumab | drug_modules\miscellaneous\biological_drugs.py | 25 fields
Haloperidol | drug_modules\psychiatry_other\antipsychotics.py | 24 fields
Heparin | drug_modules\hematology.py | 24 fields
High-intensity statin (đột quỵ/TIA) | drug_modules\cardiovascular_other\statins.py | 24 fields
Hydralazine | drug_modules\cardiovascular\vasodilators.py | 23 fields
Hydrochlorothiazide | drug_modules\cardiovascular\diuretics.py | 25 fields
Hydrocodone | drug_modules\analgesics\opioid_agonists.py | 23 fields
Hydrocortisone | drug_modules\endocrinology_other\corticosteroids\short_intermediate_acting.py | 22 fields
Hydrocortisone topical | drug_modules\dermatology.py | 25 fields
Hydromorphone | drug_modules\analgesics\opioid_agonist_strongs.py | 25 fields
Hydroxychloroquine | drug_modules\infectious_other\antimalarials.py | 23 fields
Hydroxyzine | drug_modules\supportive\antihistamine_h1_antagonist_1st_generations.py | 24 fields
Hyoscine butylbromide | drug_modules\gastrointestinal\antispasmodics.py | 25 fields
Ibandronate | drug_modules\endocrinology_other\osteoporosis_bisphosphonates.py | 24 fields
Ibuprofen | drug_modules\analgesics\nsaids.py | 29 fields
Ibutilide | drug_modules\cardiovascular\antiarrhythmics.py | 22 fields
Icosapent ethyl | drug_modules\cardiovascular\triglyceride_lowering.py | 23 fields
Idarucizumab | drug_modules\hematology.py | 26 fields
Ifosfamide | drug_modules\oncology\alkylating_agents.py | 23 fields
Ilaprazole | drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py | 24 fields
Imatinib | drug_modules\oncology\targeted_therapy_tkis.py | 23 fields
