Drug Name,File,Field Count,Has 14 Fields,Missing Fields,Status
5-Fluorouracil,drug_modules\oncology\antimetabolites.py,23,Yes,None,Complete
Abaloparatide,drug_modules\endocrinology_other\osteoporosis_other.py,24,Yes,None,Complete
Abiraterone,drug_modules\oncology\hormone_therapy.py,23,Yes,None,Complete
Acarbose,drug_modules\diabetes\alpha_glucosidase_inhibitors.py,23,Yes,None,Complete
Acebutolol,drug_modules\cardiovascular\beta_blockers\selective.py,23,Yes,None,Complete
Aclidinium,drug_modules\respiratory\anticholinergic_long_actings.py,23,Yes,None,Complete
Acyclovir,drug_modules\antimicrobial\antivirals\herpes.py,25,Yes,None,Complete
Acyclovir eye drops,drug_modules\ophthalmology.py,25,Yes,None,Complete
Acyclovir eye ointment,drug_modules\ophthalmology.py,25,Yes,None,Complete
Adalimumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Adapalene,drug_modules\dermatology.py,23,Yes,None,Complete
Adenosine,drug_modules\cardiovascular\antiarrhythmics.py,22,Yes,None,Complete
Aducanumab,drug_modules\neurological\alzheimer_dementia_drugs.py,24,Yes,None,Complete
Albendazole,drug_modules\infectious_other\anthelmintics.py,25,Yes,None,Complete
Alemtuzumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Alendronate,drug_modules\endocrinology_other\osteoporosis_bisphosphonates.py,24,Yes,None,Complete
Alfuzosin,drug_modules\urology.py,25,Yes,None,Complete
Alirocumab,drug_modules\cardiovascular\pcsk9_inhibitors.py,22,Yes,None,Complete
Allopurinol,drug_modules\miscellaneous\xanthine_oxidase_inhibitors.py,26,Yes,None,Complete
Alogliptin,drug_modules\diabetes\dpp_4_inhibitors.py,25,Yes,None,Complete
Alteplase,drug_modules\hematology.py,24,Yes,None,Complete
Aluminum hydroxide/Magnesium hydroxide,drug_modules\gastrointestinal\antacids.py,24,Yes,None,Complete
Amikacin,drug_modules\antimicrobial\antibiotics\aminoglycosides.py,27,Yes,None,Complete
Aminophylline,drug_modules\respiratory\methylxanthines.py,24,Yes,None,Complete
Amiodarone,drug_modules\cardiovascular\antiarrhythmics.py,22,Yes,None,Complete
Amitriptyline,drug_modules\psychiatry_other\tcas.py,24,Yes,None,Complete
Amlodipine,drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py,29,Yes,None,Complete
Amlodipine/Olmesartan,drug_modules\cardiovascular\fixed_dose_combinations.py,24,Yes,None,Complete
Amlodipine/Valsartan,drug_modules\cardiovascular\fixed_dose_combinations.py,24,Yes,None,Complete
Amoxicillin,drug_modules\antimicrobial\antibiotics\penicillins.py,21,Yes,None,Complete
Amoxicillin suspension,drug_modules\infectious_other\beta_lactams.py,24,Yes,None,Complete
Amoxicillin-clavulanate,drug_modules\antimicrobial\antibiotics\penicillins.py,21,Yes,None,Complete
Amphotericin B,drug_modules\antimicrobial\antifungals\polyenes.py,26,Yes,None,Complete
Ampicillin,drug_modules\antimicrobial\antibiotics\penicillins.py,21,Yes,None,Complete
Ampicillin-sulbactam,drug_modules\antimicrobial\antibiotics\penicillins.py,21,Yes,None,Complete
Anastrozole,drug_modules\oncology\hormone_therapy.py,23,Yes,None,Complete
Andexanet alfa,drug_modules\hematology.py,26,Yes,None,Complete
Anidulafungin,drug_modules\antimicrobial\antifungals\echinocandins.py,25,Yes,None,Complete
Anifrolumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Apixaban,drug_modules\cardiovascular\anticoagulants.py,26,Yes,None,Complete
Aripiprazole,drug_modules\psychiatry_other\antipsychotics.py,23,Yes,None,Complete
Artemether-lumefantrine,drug_modules\infectious_other\antimalarials.py,25,Yes,None,Complete
Artesunate,drug_modules\infectious_other\antimalarials.py,25,Yes,None,Complete
Artificial tears (Carboxymethylcellulose),drug_modules\ophthalmology.py,25,Yes,None,Complete
Aspirin,drug_modules\analgesics\nsaids.py,23,Yes,None,Complete
Aspirin/Carisoprodol,drug_modules\analgesics\pain_muscle_relaxant_combinations.py,23,Yes,None,Complete
Atazanavir (boosted with ritonavir/cobicistat),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Atenolol,drug_modules\cardiovascular\beta_blockers\selective.py,30,Yes,None,Complete
Atezolizumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Atomoxetine,drug_modules\psychiatry_other\adhd_anxiolytics.py,23,Yes,None,Complete
Atorvastatin,drug_modules\cardiovascular\statins.py,29,Yes,None,Complete
Atropine,drug_modules\emergency\anticholinergics.py,24,Yes,None,Complete
Atropine eye drops,drug_modules\ophthalmology.py,25,Yes,None,Complete
Avanafil,drug_modules\urology.py,26,Yes,None,Complete
Azathioprine,drug_modules\miscellaneous\immunosuppressants.py,25,Yes,None,Complete
Azelaic Acid,drug_modules\dermatology.py,23,Yes,None,Complete
Azelaic acid topical,drug_modules\dermatology.py,25,Yes,None,Complete
Azelastine eye drops,drug_modules\ophthalmology.py,25,Yes,None,Complete
Azelastine/Fluticasone nasal spray,drug_modules\ent_oral_nasal_combinations.py,23,Yes,None,Complete
Azilsartan medoxomil,drug_modules\cardiovascular\arbs.py,26,Yes,None,Complete
Azithromycin,drug_modules\antimicrobial\antibiotics\macrolides.py,27,Yes,None,Complete
Aztreonam,drug_modules\antimicrobial\antibiotics\beta_lactams.py,24,Yes,None,Complete
Baclofen,drug_modules\neurological\muscle_relaxants.py,23,Yes,None,Complete
Baricitinib,drug_modules\gastrointestinal\jak_inhibitors.py,25,Yes,None,Complete
Beclomethasone inhaled,drug_modules\respiratory\inhaled_corticosteroid_icss.py,24,Yes,None,Complete
Bedaquiline,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Belimumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Bempedoic acid,drug_modules\cardiovascular\cholesterol_absorption_inhibitors.py,24,Yes,None,Complete
Benazepril,drug_modules\cardiovascular\ace_inhibitors.py,26,Yes,None,Complete
Benralizumab,drug_modules\respiratory\respiratory_biologics.py,23,Yes,None,Complete
Benzoyl peroxide topical,drug_modules\dermatology.py,25,Yes,None,Complete
Betamethasone,drug_modules\endocrinology_other\corticosteroids\long_acting.py,22,Yes,None,Complete
Betamethasone topical,drug_modules\dermatology.py,23,Yes,None,Complete
Betamethasone/Clotrimazole topical,drug_modules\dermatology.py,25,Yes,None,Complete
Betaxolol,drug_modules\cardiovascular\beta_blockers\selective.py,23,Yes,None,Complete
Bevacizumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Bictegravir (BIC),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Bictegravir/Emtricitabine/Tenofovir alafenamide (BIC/FTC/TAF),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Bimatoprost,drug_modules\ophthalmology.py,25,Yes,None,Complete
Bisacodyl,drug_modules\gastrointestinal\laxatives.py,25,Yes,None,Complete
Bismuth subsalicylate,drug_modules\gastrointestinal\antidiarrheals.py,23,Yes,None,Complete
Bisoprolol,drug_modules\cardiovascular\beta_blockers\selective.py,30,Yes,None,Complete
Brentuximab vedotin,drug_modules\oncology\monoclonal_antibodies_adcs.py,24,Yes,None,Complete
Brimonidine,drug_modules\ophthalmology.py,25,Yes,None,Complete
Brinzolamide,drug_modules\ophthalmology.py,25,Yes,None,Complete
Brodalumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Bromocriptine,drug_modules\diabetes\other_antidiabetics.py,25,Yes,None,Complete
Budesonide,drug_modules\miscellaneous\corticosteroid_inhaleds.py,23,Yes,None,Complete
Budesonide inhaled,drug_modules\respiratory\inhaled_corticosteroid_icss.py,24,Yes,None,Complete
Budesonide/Formoterol inhaler,drug_modules\respiratory\combination_inhalers.py,25,Yes,None,Complete
Bumetanide,drug_modules\cardiovascular\diuretics.py,16,Yes,None,Complete
Buprenorphine,drug_modules\analgesics\opioid_agonists.py,23,Yes,None,Complete
Bupropion,drug_modules\psychiatry_other\antidepressants.py,23,Yes,None,Complete
Buspirone,drug_modules\psychiatry_other\adhd_anxiolytics.py,23,Yes,None,Complete
Cabotegravir + Rilpivirine (Long-acting IM),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Calcipotriol,drug_modules\dermatology.py,23,Yes,None,Complete
Calcitonin,drug_modules\endocrinology_other\osteoporosis_other.py,24,Yes,None,Complete
Calcitriol topical,drug_modules\dermatology.py,23,Yes,None,Complete
Calcium,drug_modules\supportive\calciums.py,24,Yes,None,Complete
Calcium (elemental),drug_modules\miscellaneous\vitamins.py,24,Yes,None,Complete
Calcium carbonate,drug_modules\gastrointestinal\antacids.py,24,Yes,None,Complete
Calcium chloride,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Calcium gluconate,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Canagliflozin,drug_modules\diabetes\sglt2_inhibitors.py,25,Yes,None,Complete
Candesartan,drug_modules\cardiovascular\arbs.py,26,Yes,None,Complete
Capecitabine,drug_modules\oncology\antimetabolites.py,23,Yes,None,Complete
Caplacizumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Captopril,drug_modules\cardiovascular\ace_inhibitors.py,30,Yes,None,Complete
Carbamazepine,drug_modules\neurological\anticonvulsants.py,26,Yes,None,Complete
Carboplatin,drug_modules\oncology\platinum_compounds.py,23,Yes,None,Complete
Carboprost,drug_modules\emergency\uterotonics.py,23,Yes,None,Complete
Carisoprodol,drug_modules\neurological\muscle_relaxants.py,24,Yes,None,Complete
Carvedilol,drug_modules\cardiovascular\beta_blockers\non_selective.py,29,Yes,None,Complete
Caspofungin,drug_modules\antimicrobial\antifungals\echinocandins.py,25,Yes,None,Complete
Cefaclor,drug_modules\infectious_other\cephalosporins.py,23,Yes,None,Complete
Cefadroxil,drug_modules\infectious_other\cephalosporins.py,24,Yes,None,Complete
Cefazolin,drug_modules\antimicrobial\antibiotics\cephalosporins.py,26,Yes,None,Complete
Cefdinir,drug_modules\infectious_other\cephalosporins.py,23,Yes,None,Complete
Cefepime,drug_modules\antimicrobial\antibiotics\cephalosporins.py,26,Yes,None,Complete
Cefiderocol,drug_modules\antimicrobial\antibiotics\beta_lactams.py,24,Yes,None,Complete
Cefixime,drug_modules\infectious_other\cephalosporins.py,23,Yes,None,Complete
Cefoperazone,drug_modules\infectious_other\cephalosporins.py,24,Yes,None,Complete
Cefotaxime,drug_modules\infectious_other\cephalosporins.py,23,Yes,None,Complete
Cefotetan,drug_modules\infectious_other\cephalosporins.py,24,Yes,None,Complete
Cefoxitin,drug_modules\infectious_other\cephalosporins.py,24,Yes,None,Complete
Cefpirome,drug_modules\infectious_other\cephalosporins.py,24,Yes,None,Complete
Ceftazidime,drug_modules\infectious_other\cephalosporins.py,23,Yes,None,Complete
Ceftriaxone,drug_modules\antimicrobial\antibiotics\cephalosporins.py,27,Yes,None,Complete
Cefuroxime,drug_modules\infectious_other\cephalosporins.py,23,Yes,None,Complete
Celecoxib,drug_modules\analgesics\nsaids.py,23,Yes,None,Complete
Cemiplimab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Cephalexin,drug_modules\antimicrobial\antibiotics\cephalosporins.py,23,Yes,None,Complete
Cerebrolysin,drug_modules\neurological\cerebral_circulation.py,25,Yes,None,Complete
Cerebroprotein hydrolysate (khác),drug_modules\neurological\cerebral_circulation.py,24,Yes,None,Complete
Certolizumab pegol,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Cetirizine,drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py,26,Yes,None,Complete
Cetirizine/Pseudoephedrine,drug_modules\ent_oral_nasal_combinations.py,23,Yes,None,Complete
Cetuximab,drug_modules\oncology\monoclonal_antibodies_adcs.py,23,Yes,None,Complete
Chloroquine,drug_modules\infectious_other\antimalarials.py,23,Yes,None,Complete
Chlorpheniramine,drug_modules\supportive\antihistamine_h1_antagonist_1st_generations.py,24,Yes,None,Complete
Chlorpromazine,drug_modules\psychiatry_other\antipsychotics.py,23,Yes,None,Complete
Chlorthalidone,drug_modules\cardiovascular\diuretics.py,22,Yes,None,Complete
Ciclesonide,drug_modules\respiratory\inhaled_corticosteroid_icss.py,24,Yes,None,Complete
Cimetidine,drug_modules\gastrointestinal\h2_receptor_antagonists.py,23,Yes,None,Complete
Ciprofloxacin,drug_modules\antimicrobial\antibiotics\fluoroquinolones.py,21,Yes,None,Complete
Ciprofloxacin eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Cisatracurium,drug_modules\emergency\neuromuscular_blockers.py,25,Yes,None,Complete
Cisplatin,drug_modules\oncology\platinum_compounds.py,23,Yes,None,Complete
Citalopram,drug_modules\psychiatry_other\ssris.py,24,Yes,None,Complete
Citicoline,drug_modules\neurological\cerebral_circulation.py,24,Yes,None,Complete
Citicoline/Piracetam,drug_modules\neurological\neurological_combinations.py,25,Yes,None,Complete
Clarithromycin,drug_modules\antimicrobial\antibiotics\macrolides.py,27,Yes,None,Complete
Clevidipine,drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py,23,Yes,None,Complete
Clindamycin,drug_modules\antimicrobial\antibiotics\lincosamides.py,27,Yes,None,Complete
Clindamycin topical,drug_modules\dermatology.py,23,Yes,None,Complete
Clobetasol,drug_modules\dermatology.py,23,Yes,None,Complete
Clofazimine,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Clomipramine,drug_modules\psychiatry_other\tcas.py,23,Yes,None,Complete
Clonazepam,drug_modules\neurological\benzodiazepines.py,24,Yes,None,Complete
Clonidine,drug_modules\cardiovascular\other_cv.py,23,Yes,None,Complete
Clopidogrel,drug_modules\cardiovascular\anticoagulants.py,24,Yes,None,Complete
Clotrimazole (vaginal),drug_modules\obstetrics_gynecology.py,24,Yes,None,Complete
Clotrimazole topical,drug_modules\dermatology.py,23,Yes,None,Complete
Clozapine,drug_modules\psychiatry_other\antipsychotics.py,23,Yes,None,Complete
Cobicistat (COBI),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Codeine,drug_modules\analgesics\opioid_agonist_weaks.py,23,Yes,None,Complete
Colchicine,drug_modules\miscellaneous\gout_medications.py,24,Yes,None,Complete
Colesevelam,drug_modules\diabetes\other_antidiabetics.py,25,Yes,None,Complete
Colistin,drug_modules\antimicrobial\antibiotics\polymyxins.py,27,Yes,None,Complete
Cromolyn,drug_modules\respiratory\leukotriene_receptor_antagonists.py,23,Yes,None,Complete
Cyclobenzaprine,drug_modules\neurological\muscle_relaxants.py,24,Yes,None,Complete
Cyclopentolate eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Cyclophosphamide,drug_modules\oncology\alkylating_agents.py,23,Yes,None,Complete
Cycloserine / Terizidone,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Cyclosporine,drug_modules\miscellaneous\immunosuppressants.py,23,Yes,None,Complete
Dabigatran,drug_modules\cardiovascular\anticoagulants.py,26,Yes,None,Complete
Dapagliflozin,drug_modules\diabetes\sglt2_inhibitors.py,25,Yes,None,Complete
Daptomycin,drug_modules\antimicrobial\antibiotics\glycopeptides.py,26,Yes,None,Complete
Daratumumab,drug_modules\oncology\monoclonal_antibodies_adcs.py,24,Yes,None,Complete
Darunavir (boosted with ritonavir/cobicistat),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Delamanid,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Demeclocycline,drug_modules\emergency\electrolytes.py,23,Yes,None,Complete
Denosumab,drug_modules\endocrinology_other\osteoporosis_other.py,24,Yes,None,Complete
Desloratadine,drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py,22,Yes,None,Complete
Desvenlafaxine,drug_modules\psychiatry_other\snris.py,22,Yes,None,Complete
Deutetrabenazine,drug_modules\neurological\antiparkinsonian.py,23,Yes,None,Complete
Dexamethasone,drug_modules\endocrinology_other\corticosteroids\long_acting.py,22,Yes,None,Complete
Dexamethasone eye drops,drug_modules\ophthalmology.py,24,Yes,None,Complete
Dexlansoprazole,drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py,24,Yes,None,Complete
Dexmedetomidine,drug_modules\supportive\sedatives_anesthetics_icu.py,26,Yes,None,Complete
Dextroamphetamine,drug_modules\psychiatry_other\adhd_anxiolytics.py,23,Yes,None,Complete
Diazepam,drug_modules\neurological\benzodiazepines.py,24,Yes,None,Complete
Diclofenac,drug_modules\analgesics\nsaids.py,25,Yes,None,Complete
Diclofenac eye drops,drug_modules\ophthalmology.py,24,Yes,None,Complete
Diclofenac gel,drug_modules\dermatology.py,23,Yes,None,Complete
Dicloxacillin,drug_modules\infectious_other\beta_lactams.py,23,Yes,None,Complete
Digoxin,drug_modules\cardiovascular\other_cv.py,27,Yes,None,Complete
Diltiazem,drug_modules\cardiovascular\calcium_blockers\non_dihydropyridines.py,23,Yes,None,Complete
Dimethyl fumarate,drug_modules\neurological\multiple_sclerosis_drugs.py,24,Yes,None,Complete
Dinoprostone,drug_modules\emergency\uterotonics.py,23,Yes,None,Complete
Diphenhydramine,drug_modules\supportive\antihistamine_h1_antagonist_1st_generations.py,22,Yes,None,Complete
Dipyridamole,drug_modules\cardiovascular_other\antiplatelets.py,26,Yes,None,Complete
Disopyramide,drug_modules\cardiovascular\antiarrhythmics.py,23,Yes,None,Complete
Dobutamine,drug_modules\emergency\catecholamine_alpha__beta_agonists.py,21,Yes,None,Complete
Docetaxel,drug_modules\oncology\taxanes.py,23,Yes,None,Complete
